channel,time,status,program,pitch,velo
1,12498,Note_off_c,0,59,100
1,12498,Note_off_c,1,55,100
1,12600,Note_on_c,0,54,100
1,12618,Note_off_c,0,54,100
1,12720,Note_on_c,0,54,100
1,12720,Note_on_c,0,68,100
1,12720,Note_on_c,1,59,100
1,12738,Note_off_c,0,54,100
1,12738,Note_off_c,0,68,100
1,12738,Note_off_c,1,59,100
1,12840,Note_on_c,0,59,100
1,12858,Note_off_c,0,59,100
1,12960,Note_on_c,1,63,100
1,12978,Note_off_c,1,63,100
1,13080,Note_on_c,0,54,100
1,13098,Note_off_c,0,54,100
1,13200,Note_on_c,0,59,100
1,13200,Note_on_c,0,68,100
1,13200,Note_on_c,1,55,100
1,13218,Note_off_c,0,59,100
1,13218,Note_off_c,0,68,100
1,13218,Note_off_c,1,55,100
1,13320,Note_on_c,0,54,100
1,13320,Note_on_c,0,68,100
1,13338,Note_off_c,0,54,100
1,13338,Note_off_c,0,68,100
1,13440,Note_on_c,0,54,100
1,13458,Note_off_c,0,54,100
1,13560,Note_on_c,0,59,100
1,13560,Note_on_c,0,68,100
1,13578,Note_off_c,0,59,100
1,13578,Note_off_c,0,68,100
1,13680,Note_on_c,0,54,100
1,13680,Note_on_c,0,68,100
1,13680,Note_on_c,1,59,100
1,13698,Note_off_c,0,54,100
1,13698,Note_off_c,0,68,100
1,13698,Note_off_c,1,59,100
1,13800,Note_on_c,0,68,100
1,13818,Note_off_c,0,68,100
1,13920,Note_on_c,0,59,100
1,13920,Note_on_c,0,68,100
1,13938,Note_off_c,0,59,100
1,13938,Note_off_c,0,68,100
1,14040,Note_on_c,0,54,100
1,14040,Note_on_c,1,63,100
1,14058,Note_off_c,0,54,100
1,14058,Note_off_c,1,63,100
1,14160,Note_on_c,0,54,100
1,14178,Note_off_c,0,54,100
1,14280,Note_on_c,0,59,100
1,14280,Note_on_c,0,68,100
1,14280,Note_on_c,1,55,100
1,14298,Note_off_c,0,59,100
1,14298,Note_off_c,0,68,100
1,14298,Note_off_c,1,55,100
1,14400,Note_on_c,0,54,100
1,14418,Note_off_c,0,54,100
1,14520,Note_on_c,0,59,100
1,14520,Note_on_c,0,59,100
1,14520,Note_on_c,0,68,100
1,14520,Note_on_c,0,68,100
1,14520,Note_on_c,1,59,100
1,14520,Note_on_c,1,59,100
1,14538,Note_off_c,0,59,100
1,14538,Note_off_c,0,68,100
1,14538,Note_off_c,1,59,100
1,14538,Note_off_c,0,59,100
1,14538,Note_off_c,0,68,100
1,14538,Note_off_c,1,59,100
1,14640,Note_on_c,0,68,100
1,14658,Note_off_c,0,68,100
1,14760,Note_on_c,0,54,100
1,14760,Note_on_c,0,68,100
1,14760,Note_on_c,1,63,100
1,14778,Note_off_c,0,54,100
1,14778,Note_off_c,0,68,100
1,14778,Note_off_c,1,63,100
1,14880,Note_on_c,0,54,100
1,14898,Note_off_c,0,54,100
1,15000,Note_on_c,0,59,100
1,15000,Note_on_c,0,68,100
1,15018,Note_off_c,0,59,100
1,15018,Note_off_c,0,68,100
1,15120,Note_on_c,0,54,100
1,15120,Note_on_c,0,68,100
1,15138,Note_off_c,0,54,100
1,15138,Note_off_c,0,68,100
1,15240,Note_on_c,0,59,100
1,15240,Note_on_c,0,68,100
1,15240,Note_on_c,1,55,100
1,15240,Note_on_c,1,55,100
1,15258,Note_off_c,0,59,100
1,15258,Note_off_c,0,68,100
1,15258,Note_off_c,1,55,100
1,15258,Note_off_c,1,55,100
1,15360,Note_on_c,0,54,100
1,15378,Note_off_c,0,54,100
1,15480,Note_on_c,0,54,100
1,15480,Note_on_c,0,68,100
1,15498,Note_off_c,0,54,100
1,15498,Note_off_c,0,68,100
1,15600,Note_on_c,0,59,100
1,15600,Note_on_c,0,68,100
1,15600,Note_on_c,1,59,100
1,15618,Note_off_c,0,59,100
1,15618,Note_off_c,0,68,100
1,15618,Note_off_c,1,59,100
1,15720,Note_on_c,0,54,100
1,15738,Note_off_c,0,54,100
1,15840,Note_on_c,0,59,100
1,15840,Note_on_c,0,68,100
1,15840,Note_on_c,1,63,100
1,15858,Note_off_c,0,59,100
1,15858,Note_off_c,0,68,100
1,15858,Note_off_c,1,63,100
1,15960,Note_on_c,0,68,100
1,15979,Note_off_c,0,68,100
1,16080,Note_on_c,0,54,100
1,16080,Note_on_c,0,68,100
1,16080,Note_on_c,1,55,100
1,16098,Note_off_c,0,54,100
1,16098,Note_off_c,0,68,100
1,16098,Note_off_c,1,55,100
1,16200,Note_on_c,0,54,100
1,16218,Note_off_c,0,54,100
1,16320,Note_on_c,0,59,100
1,16320,Note_on_c,0,68,100
1,16320,Note_on_c,1,59,100
1,16338,Note_off_c,0,59,100
1,16338,Note_off_c,0,68,100
1,16338,Note_off_c,1,59,100
1,16440,Note_on_c,0,54,100
1,16440,Note_on_c,0,63,100
1,16458,Note_off_c,0,54,100
1,16458,Note_off_c,0,63,100
1,16560,Note_on_c,0,58,100
